PROJECT_BUILDYEARS_1	PROJECT_BUILDYEARS_2	BuildProj
CCGT_Alto_Jahuel	2020	0.0
CCGT_Alto_Jahuel	2022	0.0
CCGT_Alto_Jahuel	2024	0.0
CCGT_Alto_Jahuel	2026	0.105452980092
CCGT_Alto_Jahuel	2028	0.0435325125041
CCGT_Alto_Jahuel	2030	0.0
CCGT_Alto_Jahuel	2032	0.138340293436
CCGT_Alto_Jahuel	2034	268.336958336
CCGT_Alto_Jahuel	2036	131.362028807
CCGT_Alto_Jahuel	2038	0.0
CCGT_Ancoa	2020	0.0
CCGT_Ancoa	2022	0.0
CCGT_Ancoa	2024	0.0
CCGT_Ancoa	2026	0.0366569372693
CCGT_Ancoa	2028	0.0
CCGT_Ancoa	2030	0.0200996266996
CCGT_Ancoa	2032	0.0232776307043
CCGT_Ancoa	2034	0.0462514710313
CCGT_Ancoa	2036	496.700823953
CCGT_Ancoa	2038	0.0
CCGT_Quillota	2020	0.0
CCGT_Quillota	2022	0.0
CCGT_Quillota	2024	0.0
CCGT_Quillota	2026	97.4468139335
CCGT_Quillota	2028	128.04614885
CCGT_Quillota	2030	0.0
CCGT_Quillota	2032	127.702432838
CCGT_Quillota	2034	310.912694135
CCGT_Quillota	2036	35.8756027638
CCGT_Quillota	2038	0.0
Coal_Ancoa	2020	0.0
Coal_Ancoa	2022	0.0
Coal_Ancoa	2024	0.0
Coal_Ancoa	2026	0.0
Coal_Ancoa	2028	0.0
Coal_Ancoa	2030	0.0
Coal_Ancoa	2032	0.0
Coal_Ancoa	2034	0.0
Coal_Ancoa	2036	0.0
Coal_Ancoa	2038	0.0
Coal_Diego_de_Almagro	2020	0.0
Coal_Diego_de_Almagro	2022	0.0
Coal_Diego_de_Almagro	2024	0.0
Coal_Diego_de_Almagro	2026	0.0
Coal_Diego_de_Almagro	2028	0.0
Coal_Diego_de_Almagro	2030	40.6714481811
Coal_Diego_de_Almagro	2032	707.864643265
Coal_Diego_de_Almagro	2034	251.457276995
Coal_Diego_de_Almagro	2036	0.0
Coal_Diego_de_Almagro	2038	0.0
Diesel_Engine_itahue	2008	47.0
Diesel_Engine_itahue	2020	0.0
Diesel_Engine_itahue	2022	0.0
Diesel_Engine_itahue	2024	0.0
Diesel_Engine_itahue	2026	0.0
Diesel_Engine_itahue	2028	0.0
Diesel_Engine_itahue	2030	0.0
Diesel_Engine_itahue	2032	0.0
Diesel_Engine_itahue	2034	0.0
Diesel_Engine_itahue	2036	0.0
Diesel_Engine_itahue	2038	0.0
Diesel_Engine_lagunas	1991	46.8
Diesel_Engine_lagunas	2020	0.0
Diesel_Engine_lagunas	2022	0.0
Diesel_Engine_lagunas	2024	0.0
Diesel_Engine_lagunas	2026	0.0
Diesel_Engine_lagunas	2028	0.0
Diesel_Engine_lagunas	2030	0.0
Diesel_Engine_lagunas	2032	0.0
Diesel_Engine_lagunas	2034	0.0
Diesel_Engine_lagunas	2036	0.0
Diesel_Engine_lagunas	2038	0.0
Diesel_Engine_los_vilos	2008	124.1
Diesel_Engine_los_vilos	2020	0.0
Diesel_Engine_los_vilos	2022	0.0
Diesel_Engine_los_vilos	2024	0.0
Diesel_Engine_los_vilos	2026	0.0
Diesel_Engine_los_vilos	2028	0.0
Diesel_Engine_los_vilos	2030	0.0
Diesel_Engine_los_vilos	2032	0.0
Diesel_Engine_los_vilos	2034	0.0
Diesel_Engine_los_vilos	2036	0.0
Diesel_Engine_los_vilos	2038	0.0
Diesel_Engine_pan_de_azucar	2007	175.0
Diesel_Engine_pan_de_azucar	2020	0.0
Diesel_Engine_pan_de_azucar	2022	0.0
Diesel_Engine_pan_de_azucar	2024	0.0
Diesel_Engine_pan_de_azucar	2026	0.0
Diesel_Engine_pan_de_azucar	2028	0.0
Diesel_Engine_pan_de_azucar	2030	0.0
Diesel_Engine_pan_de_azucar	2032	0.0
Diesel_Engine_pan_de_azucar	2034	0.0
Diesel_Engine_pan_de_azucar	2036	0.0
Diesel_Engine_pan_de_azucar	2038	0.0
Diesel_Engine_puerto_montt	2007	125.0
Diesel_Engine_puerto_montt	2020	0.0
Diesel_Engine_puerto_montt	2022	0.0
Diesel_Engine_puerto_montt	2024	0.0
Diesel_Engine_puerto_montt	2026	0.0
Diesel_Engine_puerto_montt	2028	0.0
Diesel_Engine_puerto_montt	2030	0.0
Diesel_Engine_puerto_montt	2032	0.0
Diesel_Engine_puerto_montt	2034	0.0
Diesel_Engine_puerto_montt	2036	0.0
Diesel_Engine_puerto_montt	2038	0.0
PV_Alto_Jahuel	2020	0.0
PV_Alto_Jahuel	2022	0.0
PV_Alto_Jahuel	2024	0.0
PV_Alto_Jahuel	2026	0.0
PV_Alto_Jahuel	2028	0.0
PV_Alto_Jahuel	2030	0.0
PV_Alto_Jahuel	2032	0.0
PV_Alto_Jahuel	2034	0.0
PV_Alto_Jahuel	2036	0.0
PV_Alto_Jahuel	2038	0.0
PV_Pan_de_Azucar	2020	0.0
PV_Pan_de_Azucar	2022	0.0
PV_Pan_de_Azucar	2024	0.0
PV_Pan_de_Azucar	2026	0.0
PV_Pan_de_Azucar	2028	340.331578492
PV_Pan_de_Azucar	2030	659.655069089
PV_Pan_de_Azucar	2032	0.0
PV_Pan_de_Azucar	2034	0.0
PV_Pan_de_Azucar	2036	0.0
PV_Pan_de_Azucar	2038	0.0
TG_Diesel_ancoa	2007	45.0
TG_Diesel_ancoa	2020	0.0
TG_Diesel_ancoa	2022	0.0
TG_Diesel_ancoa	2024	0.0
TG_Diesel_ancoa	2026	0.0
TG_Diesel_ancoa	2028	0.0
TG_Diesel_ancoa	2030	0.0
TG_Diesel_ancoa	2032	0.0
TG_Diesel_ancoa	2034	0.0
TG_Diesel_ancoa	2036	0.0
TG_Diesel_ancoa	2038	0.0
TG_Diesel_cardones	2000	126.0
TG_Diesel_cardones	2020	0.0
TG_Diesel_cardones	2022	0.0
TG_Diesel_cardones	2024	0.0
TG_Diesel_cardones	2026	0.0
TG_Diesel_cardones	2028	0.0
TG_Diesel_cardones	2030	0.0
TG_Diesel_cardones	2032	0.0
TG_Diesel_cardones	2034	0.0
TG_Diesel_cardones	2036	0.0
TG_Diesel_cardones	2038	0.0
TG_Diesel_charrua	2007	250.0
TG_Diesel_charrua	2020	0.0
TG_Diesel_charrua	2022	0.0
TG_Diesel_charrua	2024	0.0
TG_Diesel_charrua	2026	0.0
TG_Diesel_charrua	2028	0.0
TG_Diesel_charrua	2030	0.0
TG_Diesel_charrua	2032	0.0
TG_Diesel_charrua	2034	0.0
TG_Diesel_charrua	2036	0.0
TG_Diesel_charrua	2038	0.0
TG_Diesel_crucero_encuentro	1987	40.0
TG_Diesel_crucero_encuentro	2020	0.0
TG_Diesel_crucero_encuentro	2022	0.0
TG_Diesel_crucero_encuentro	2024	0.0
TG_Diesel_crucero_encuentro	2026	0.0
TG_Diesel_crucero_encuentro	2028	0.0
TG_Diesel_crucero_encuentro	2030	0.0
TG_Diesel_crucero_encuentro	2032	0.0
TG_Diesel_crucero_encuentro	2034	0.0
TG_Diesel_crucero_encuentro	2036	0.0
TG_Diesel_crucero_encuentro	2038	0.0
TG_Diesel_diego_de_almagro	2005	86.0
TG_Diesel_diego_de_almagro	2020	0.0
TG_Diesel_diego_de_almagro	2022	0.0
TG_Diesel_diego_de_almagro	2024	0.0
TG_Diesel_diego_de_almagro	2026	0.0
TG_Diesel_diego_de_almagro	2028	0.0
TG_Diesel_diego_de_almagro	2030	0.0
TG_Diesel_diego_de_almagro	2032	0.0
TG_Diesel_diego_de_almagro	2034	0.0
TG_Diesel_diego_de_almagro	2036	0.0
TG_Diesel_diego_de_almagro	2038	0.0
TG_Diesel_hualpen	2004	45.0
TG_Diesel_hualpen	2020	0.0
TG_Diesel_hualpen	2022	0.0
TG_Diesel_hualpen	2024	0.0
TG_Diesel_hualpen	2026	0.0
TG_Diesel_hualpen	2028	0.0
TG_Diesel_hualpen	2030	0.0
TG_Diesel_hualpen	2032	0.0
TG_Diesel_hualpen	2034	0.0
TG_Diesel_hualpen	2036	0.0
TG_Diesel_hualpen	2038	0.0
TG_Diesel_maitencillo	1987	29.0
TG_Diesel_maitencillo	2020	0.0
TG_Diesel_maitencillo	2022	0.0
TG_Diesel_maitencillo	2024	0.0
