project_name,gen_tech,balancing_area,full_load_heat_rate,connect_cost_per_mw,variable_o_m,forced_outage_rate,scheduled_outage_rate,capacity_limit_mw,start_year,capacity_mw,overnight_cost,fixed_o_m,project_id,being_built,fuel_code,fuel_oil,load_zone
cerro_prieto_i_u5,geothermal,08-baja_california,0,0,,,14.1,28.2,,28.2,,,1,operational,,,48-mexicali
cerro_prieto_ii_central,geothermal,08-baja_california,0,0,,,14.1,206.6,,206.6,,,2,operational,,,48-mexicali
cerro_prieto_iii_central,geothermal,08-baja_california,0,0,,,14.1,206.6,,206.6,,,3,operational,,,48-mexicali
cerro_prieto_iv_central,geothermal,08-baja_california,0,0,,,14.1,93.9,,93.9,,,4,operational,,,48-mexicali
cerro_prieto_fotovoltaica,solar,08-baja_california,0,0,,,0,5,,5,,,5,operational,,,48-mexicali
cipres_tg,gas_turbine_diesel,08-baja_california,18.2,0,,,5.5,26.7,,26.7,,,6,operational,d_bcn,diesel,47-ensenada
mexicali,combined_cycle_natural_gas,08-baja_california,7.9,0,,,7.7,474.8,,474.8,,,7,operational,g_i_noro,natural_gas,48-mexicali
mexicali_tg_1,gas_turbine_diesel,08-baja_california,22.3,0,,,5.5,25.4,,25.4,,,8,operational,d_bcn,diesel,48-mexicali
mexicali_tg_2,gas_turbine_diesel,08-baja_california,22.3,0,,,5.5,17.6,,17.6,,,9,operational,d_bcn,diesel,48-mexicali
mexicali_tg_3,gas_turbine_diesel,08-baja_california,22.3,0,,,5.5,17.6,,17.6,,,10,operational,d_bcn,diesel,48-mexicali
presidente_juarez_rosarito,combined_cycle_natural_gas,08-baja_california,11,0,,,7.7,749,,749,,,11,operational,g_i_noro,natural_gas,46-tijuana
presidente_juarez_rosarito5_tc,thermal_fuel_oil,08-baja_california,11,0,,,7.1,149.8,,149.8,,,12,operational,c_n_vizc,fuel_oil,46-tijuana
presidente_juarez_rosarito6_tc,thermal_fuel_oil,08-baja_california,11,0,,,7.1,149.8,,149.8,,,13,operational,c_n_vizc,fuel_oil,46-tijuana
tijuana_1_tg,gas_turbine_natural_gas,08-baja_california,10.8,0,,,5.5,29.3,,29.3,,,14,operational,g_i_jovibn,natural_gas,46-tijuana
tijuana_2_tg,gas_turbine_natural_gas,08-baja_california,10.8,0,,,5.5,29.3,,29.3,,,15,operational,g_i_jovibn,natural_gas,46-tijuana
tijuana_3_tg_150mw,gas_turbine_natural_gas,08-baja_california,10.8,0,,,5.5,148.4,,148.4,,,16,operational,g_i_jovibn,natural_gas,46-tijuana
tijuana_tg_central,gas_turbine_natural_gas,08-baja_california,10.8,0,,,5.5,133.5,,133.5,,,17,operational,g_i_jovibn,natural_gas,46-tijuana
baja_california_sur_i,internal_combustion_fuel_oil,09-baja_california_sur,10.3,0,,,7.4,156.8,,156.8,,,18,operational,c_n_chih,fuel_oil,51-la_paz
ciudad_constitucion,gas_turbine_diesel,09-baja_california_sur,19.2,0,,,5.5,32.4,,32.4,,,19,operational,d_bcn,diesel,50-villa_constitucion
guerrero_negro,gas_turbine_diesel,10-baja_california_sur-mulege,27.8,0,,,5.5,12.2,,12.2,,,20,operational,d_bcn,diesel,53-mulege
guerrero_negro_ii,internal_combustion_fuel_oil,10-baja_california_sur-mulege,10.3,0,,,7.4,9.9,,9.9,,,21,operational,c_n_vizc,fuel_oil,53-mulege
la_paz_tg1,gas_turbine_diesel,09-baja_california_sur,18.2,0,,,5.5,17.6,,17.6,,,22,operational,d_bcn,diesel,51-la_paz
la_paz_tg2,gas_turbine_diesel,09-baja_california_sur,18.2,0,,,5.5,24.4,,24.4,,,23,operational,d_bcn,diesel,51-la_paz
los_cabos_cfe_25000,gas_turbine_diesel,09-baja_california_sur,9.6,0,,,5.5,74.1,,74.1,,,24,operational,d_bcn,diesel,52-los_cabos
los_cabos_cfe_30000,gas_turbine_diesel,09-baja_california_sur,11.4,0,,,5.5,102.8,,102.8,,,25,operational,d_bcn,diesel,52-los_cabos
los_cabos_1_tg,gas_turbine_diesel,09-baja_california_sur,18.1,0,,,5.5,29.3,,29.3,,,26,operational,d_bcn,diesel,52-los_cabos
