PROJECT	proj_gen_tech	proj_load_zone	proj_variable_o_m	proj_full_load_heat_rate	proj_forced_outage_rate	proj_scheduled_outage_rate	proj_dbid	proj_capacity_limit_mw
cerro_prieto_i_u5	geothermal	48-mexicali	0.06	0.0	14.1	5.12	1.0	30.0
cerro_prieto_ii_central	geothermal	48-mexicali	0.06	0.0	14.1	5.12	2.0	220.0
cerro_prieto_iii_central	geothermal	48-mexicali	0.06	0.0	14.1	5.12	3.0	220.0
cerro_prieto_iv_central	geothermal	48-mexicali	0.06	0.0	14.1	5.12	4.0	100.0
cerro_prieto_fotovoltaica	solar	48-mexicali	0.0	0.0	0.0	0.0	5.0	5.0
cipres_tg	gas_turbine_diesel	47-ensenada	3.432	17.25118483	5.5	9.22	6.0	27.43
mexicali	combined_cycle_natural_gas	48-mexicali	3.05	7.488151659	7.7	6.96	7.0	489.0
mexicali_tg_1	gas_turbine_diesel	48-mexicali	3.432	21.13744076	5.5	9.22	8.0	26.0
mexicali_tg_2	gas_turbine_diesel	48-mexicali	3.432	21.13744076	5.5	9.22	9.0	18.0
mexicali_tg_3	gas_turbine_diesel	48-mexicali	3.432	21.13744076	5.5	9.22	10.0	18.0
presidente_juarez_rosarito	combined_cycle_natural_gas	46-tijuana	3.05	10.42654028	7.7	6.96	11.0	773.0
presidente_juarez_rosarito5_tc	thermal_fuel_oil	46-tijuana	2.688	10.42654028	7.1	11.44	12.0	160.0
presidente_juarez_rosarito6_tc	thermal_fuel_oil	46-tijuana	2.688	10.42654028	7.1	11.44	13.0	160.0
tijuana_1_tg	gas_turbine_natural_gas	46-tijuana	3.432	10.23696682	5.5	9.22	14.0	30.0
tijuana_2_tg	gas_turbine_natural_gas	46-tijuana	3.432	10.23696682	5.5	9.22	15.0	30.0
tijuana_3_tg_150mw	gas_turbine_natural_gas	46-tijuana	3.432	10.23696682	5.5	9.22	16.0	150.0
tijuana_tg_central	gas_turbine_natural_gas	46-tijuana	3.432	10.23696682	5.5	9.22	17.0	135.0
baja_california_sur_i	internal_combustion_fuel_oil	51-la_paz	6.63	9.763033175	7.4	11.23	18.0	162.7
ciudad_constitucion	gas_turbine_diesel	50-villa_constitucion	3.432	18.19905213	5.5	9.22	19.0	33.22
guerrero_negro	gas_turbine_diesel	53-mulege	3.432	26.3507109	5.5	9.22	20.0	12.5
guerrero_negro_ii	internal_combustion_fuel_oil	53-mulege	6.63	9.763033175	7.4	11.23	21.0	10.8
la_paz_tg1	gas_turbine_diesel	51-la_paz	3.432	17.25118483	5.5	9.22	22.0	18.0
la_paz_tg2	gas_turbine_diesel	51-la_paz	3.432	17.25118483	5.5	9.22	23.0	25.0
los_cabos_cfe_25000	gas_turbine_diesel	52-los_cabos	3.432	9.099526066	5.5	9.22	24.0	75.0
los_cabos_cfe_30000	gas_turbine_diesel	52-los_cabos	3.432	10.8056872	5.5	9.22	25.0	104.0
los_cabos_1_tg	gas_turbine_diesel	52-los_cabos	3.432	17.1563981	5.5	9.22	26.0	30.0
los_cabos_2_tg	gas_turbine_diesel	52-los_cabos	3.432	17.1563981	5.5	9.22	27.0	27.43
los_cabos_3_tg	gas_turbine_diesel	52-los_cabos	3.432	17.1563981	5.5	9.22	28.0	27.23
punta_prieta_ii_u1	thermal_diesel	51-la_paz	2.688	11.37440758	7.1	11.44	29.0	37.5
punta_prieta_ii_u2	thermal_diesel	51-la_paz	2.688	11.37440758	7.1	11.44	30.0	37.5
punta_prieta_ii_u3	thermal_diesel	51-la_paz	2.688	11.37440758	7.1	11.44	31.0	37.5
san_carlos_u1	internal_combustion_fuel_oil	50-villa_constitucion	6.63	7.962085308	7.4	11.23	32.0	31.5
san_carlos_u2	internal_combustion_fuel_oil	50-villa_constitucion	6.63	7.962085308	7.4	11.23	33.0	31.5
san_carlos_u3	internal_combustion_fuel_oil	50-villa_constitucion	6.63	7.962085308	7.4	11.23	34.0	41.13
santa_rosalia_u1_u2	internal_combustion_fuel_oil	53-mulege	6.63	9.763033175	7.4	11.23	35.0	2.6
santa_rosalia_u3_ci	internal_combustion_fuel_oil	53-mulege	6.63	14.5971564	7.4	11.23	36.0	1.2
santa_rosalia_u4_ci	internal_combustion_fuel_oil	53-mulege	6.63	14.5971564	7.4	11.23	37.0	1.2
santa_rosalia_u5_ci	internal_combustion_fuel_oil	53-mulege	6.63	14.5971564	7.4	11.23	38.0	2.8
tres_virgcos_central	geothermal	53-mulege	0.06	0.0	14.1	5.12	39.0	10.0
u_movil	internal_combustion_fuel_oil	53-mulege	6.63	9.763033175	7.4	11.23	40.0	7.5
chicoasen	hydroelectric	39-grijalva	0.0	0.0	1.0	3.0	41.0	2400.0
aragon	gas_turbine_natural_gas	31-central	3.432	9.573459716	5.5	9.22	42.0	32.0
atenco_lyfc	gas_turbine_natural_gas	31-central	3.432	9.383886256	5.5	9.22	43.0	32.0
coapa	gas_turbine_natural_gas	31-central	3.432	9.289099526	5.5	9.22	44.0	32.0
coyotepec	gas_turbine_natural_gas	31-central	3.432	9.573459716	5.5	9.22	45.0	64.0
cuautitlan_lyfc	gas_turbine_natural_gas	31-central	3.432	9.478672986	5.5	9.22	46.0	32.0
ecatepec_lyfc	gas_turbine_natural_gas	31-central	3.432	9.668246445	5.5	9.22	47.0	32.0
infiernillo	hydroelectric	29-lazaro_cardenas	0.0	0.0	1.0	3.0	48.0	1200.0
iztapalapa_lyfc	gas_turbine_natural_gas	31-central	3.432	9.478672986	5.5	9.22	49.0	32.0
malpaso	hydroelectric	39-grijalva	0.0	0.0	1.0	3.0	50.0	1080.0
magdalena	gas_turbine_natural_gas	31-central	3.432	9.573459716	5.5	9.22	51.0	32.0
aguamilpa_solidaridad	hydroelectric	22-tepic	0.0	0.0	1.0	3.0	52.0	960.0
nonoalco_lyfc_u1	gas_turbine_natural_gas	31-central	3.432	20.09478673	5.5	9.22	53.0	32.0
nonoalco_lyfc_u2	gas_turbine_natural_gas	31-central	3.432	20.09478673	5.5	9.22	54.0	32.0
nonoalco_lyfc_u3	gas_turbine_natural_gas	31-central	3.432	20.09478673	5.5	9.22	55.0	42.0
angostura	hydroelectric	39-grijalva	0.0	0.0	1.0	3.0	56.0	900.0
remedios_lyfc	gas_turbine_natural_gas	31-central	3.432	9.099526066	5.5	9.22	57.0	32.0
santa_cruz	gas_turbine_natural_gas	31-central	3.432	9.573459716	5.5	9.22	58.0	32.0
el_cajon	hydroelectric	23-guadalajara	0.0	0.0	1.0	3.0	59.0	750.0
tula	combined_cycle_natural_gas	31-central	3.05	9.478672986	7.7	6.96	60.0	489.0
tula_tc_u1	thermal_fuel_oil	31-central	2.688	9.478672986	7.1	11.44	61.0	330.0
tula_tc_u2	thermal_fuel_oil	31-central	2.688	9.478672986	7.1	11.44	62.0	330.0
tula_tc_u3	thermal_fuel_oil	31-central	2.688	9.478672986	7.1	11.44	63.0	322.8
tula_tc_u4	thermal_fuel_oil	31-central	2.688	9.478672986	7.1	11.44	64.0	322.8
tula_tc_u5	thermal_fuel_oil	31-central	2.688	9.478672986	7.1	11.44	65.0	300.0
valle_de_mexico	combined_cycle_natural_gas	31-central	3.05	10.71090047	7.7	6.96	66.0	549.3
valle_de_mexico_tc_u1	thermal_fuel_oil	31-central	2.688	9.004739336	7.1	11.44	67.0	150.0
valle_de_mexico_tc_u2	thermal_fuel_oil	31-central	2.688	9.004739336	7.1	11.44	68.0	150.0
valle_de_mexico_tc_u3	thermal_fuel_oil	31-central	2.688	9.004739336	7.1	11.44	69.0	150.0
vallejo_lyfc	gas_turbine_natural_gas	31-central	3.432	9.478672986	5.5	9.22	70.0	32.0
victoria_lyfc	gas_turbine_natural_gas	31-central	3.432	9.573459716	5.5	9.22	71.0	32.0
villa_de_las_flores_lyfc	gas_turbine_natural_gas	31-central	3.432	10.04739336	5.5	9.22	72.0	32.0
la_yesca	hydroelectric	23-guadalajara	0.0	0.0	1.0	3.0	73.0	750.0
guerrero_negro_ii_tgmovil	gas_turbine_diesel	53-mulege	3.432	26.3507109	5.5	9.22	74.0	12.5
guerrero_negro_eolica	wind	53-mulege	0.0	0.0	0.0	0.0	75.0	0.6
sta_rosalia	solar	53-mulege	0.0	0.0	0.0	0.0	76.0	1.0
u_movil_cfe-ume	gas_turbine_diesel	53-mulege	3.432	11.27962085	5.5	9.22	77.0	57.0
u_movil_de_emergencia_ume-18	internal_combustion_fuel_oil	53-mulege	6.63	9.763033175	7.4	11.23	78.0	1.6
u_movil_de_emergencia_ume-19	internal_combustion_fuel_oil	53-mulege	6.63	9.763033175	7.4	11.23	79.0	1.6
u_movil_de_emergencia_ume-20	internal_combustion_fuel_oil	53-mulege	6.63	9.763033175	7.4	11.23	80.0	1.6
vizcaino	gas_turbine_diesel	53-mulege	3.432	35.26066351	5.5	9.22	81.0	14.0
caracol	hydroelectric	35-acapulco	0.0	0.0	1.0	3.0	82.0	600.0
chavez_u1	gas_turbine_natural_gas	11-laguna	3.432	23.507109	5.5	9.22	83.0	14.0
chavez_u2	gas_turbine_natural_gas	11-laguna	3.432	23.507109	5.5	9.22	84.0	14.0
chihuahua_ii	combined_cycle_natural_gas	09-chihuahua	3.05	6.54028436	7.7	6.96	85.0	619.4
